refname	commit_sha
refs/archive/2026-07-15/heads/m2e-10-gate-evidence	59902cb6050cb88cf97e00ec260380559dd1bcfa
refs/archive/2026-07-15/heads/m2e-10-scaffold-stubs	40fbce40235542c65e35dac4a651234e872fcd28
refs/archive/2026-07-15/heads/m2e-11-schema-declarations	1f8eb4d62b8cf771a25249ece51fd19e47603972
refs/archive/2026-07-15/heads/m2e-12-d1-prelude	4f40f10f1f4d56f542cd8d35165211b2c5941d2a
refs/archive/2026-07-15/heads/m2e-13-color-contract	dd1414a72ed5e64783656b9967731878a4c2cb92
refs/archive/2026-07-15/heads/m2e-14-canonical-to-core	a1c880591be1d778ad246aa5b25824200a9f5a73
refs/archive/2026-07-15/heads/m2e-15-layer-id	bb498d7ec9b0ccc3a2803f323925e5ee0b0610da
refs/archive/2026-07-15/heads/m2e-16-rational-time-invariants	43035e3bf711620c2e9e9f38445bac9cbb477492
refs/archive/2026-07-15/heads/m2e-17-half-open-duration	00269d80c17e147382bc738232345b2ccbd275ad
refs/archive/2026-07-15/heads/m2e-2-complete	5c8e35ccf25ea6aef44b254ecbab4856408dc2b2
refs/archive/2026-07-15/heads/m2e-2-test-asset-protection	0a2a43aa9a861cb0b9e0e9954a6f2ad0d81c27e0
refs/archive/2026-07-15/heads/m2e-4-tol-literals	c65363635f2ac42234abb6b85ee2c436269c78af
refs/archive/2026-07-15/heads/m2e-8-gate-evidence	b08d1bf33b2f239f6eb28b46ebd58a69403efa90
refs/archive/2026-07-15/heads/m2e-8-typed-params	0a7752da9cc24849188d50d8ababdfb0f4f4c614
refs/archive/2026-07-15/heads/m2e-9-followup-gate-evidence	9274973532ce2d99c1226a3a152bc4008d365bda
refs/archive/2026-07-15/heads/m2e-9-gate-evidence	2965c5b235277304d41df54f89510116bab25321
refs/archive/2026-07-15/heads/m2e-9-purity-separate-submit	49ac9c4fc774cf0bc3a9cee0aabe8b92a941c7b7
refs/archive/2026-07-15/heads/m2e-9-registry-purity	0e88d85c7a38195bd31042a0e19c3078e6056656
refs/archive/2026-07-15/heads/worktree-agent-ab312d5d318222bd7	012b5d48d5f0c1fcd0fad76008a41fdbb874b394
refs/archive/2026-07-15/heads/worktree-agent-adaf58d8fb5590bce	012b5d48d5f0c1fcd0fad76008a41fdbb874b394
refs/archive/2026-07-15/pre-rebase/codex/d1l-review-fixes	dd25f9e2f3552cfa4269105c553dda17acfe777c
